WKT,name,description
"POLYGON ((-46.7304102 -23.5538241, -46.7288331 -23.5545765, -46.7280659 -23.5531848, -46.7296216 -23.5524276, -46.7304102 -23.5538241))",poli - mecânica,
,,
"POLYGON ((-46.7280659 -23.5531848, -46.7288331 -23.5545765, -46.7276926 -23.5550406, -46.7274673 -23.5546472, -46.7258258 -23.5553258, -46.7253966 -23.5544849, -46.7280659 -23.5531848))",poli - hidráulica,
,,
"POLYGON ((-46.7305362 -23.5539706, -46.7314588 -23.5556179, -46.7306756 -23.5559769, -46.7297905 -23.5543492, -46.7305362 -23.5539706))",poli - estacionamento,
,,
"POLYGON ((-46.7313135 -23.5516004, -46.7343176 -23.5569948, -46.731571 -23.5582881, -46.7311096 -23.5574226, -46.7297471 -23.5580619, -46.7289907 -23.5569161, -46.7297256 -23.5565572, -46.7289102 -23.5549836, -46.7261207 -23.5560654, -46.7253966 -23.5544849, -46.7313135 -23.5516004))",poli,
