WKT,name,description
"POLYGON ((-46.7234636 -23.5611851, -46.7238838 -23.5618978, -46.7215455 -23.5630099, -46.7212451 -23.5628919, -46.7209742 -23.5623105, -46.7213149 -23.562083, -46.7214731 -23.5618003, -46.7219267 -23.5619153, -46.7234636 -23.5611851))",brasiliana,
,,
"POLYGON ((-46.7200051 -23.5605988, -46.7204638 -23.5603653, -46.7210002 -23.5605152, -46.7215217 -23.5614237, -46.7214731 -23.5618003, -46.7213149 -23.562083, -46.7209742 -23.5623105, -46.720501 -23.5623708, -46.7199511 -23.5621569, -46.7197687 -23.5619479, -46.7192779 -23.5620807, -46.7191491 -23.561852, -46.7197392 -23.5613677, -46.7197499 -23.5610063, -46.7199189 -23.5607186, -46.7200051 -23.5605988))",praça do relógio solar,
,,
"POLYGON ((-46.7190315 -23.5578255, -46.720032 -23.5595613, -46.7200776 -23.5600752, -46.7200051 -23.5605988, -46.7197499 -23.5610063, -46.7197392 -23.5613677, -46.7191491 -23.561852, -46.718801 -23.5617237, -46.7183826 -23.5618614, -46.7182519 -23.5620488, -46.7182009 -23.5622086, -46.7171817 -23.5627102, -46.7165997 -23.561744, -46.7164092 -23.56168, -46.715175 -23.5619496, -46.7151267 -23.5618685, -46.7146533 -23.5619324, -46.7144897 -23.5614628, -46.7140283 -23.561512, -46.7139935 -23.5604671, -46.7138406 -23.5602507, -46.7141812 -23.5599877, -46.7150556 -23.5595574, -46.7180543 -23.5581019, -46.7190315 -23.5578255))",CEPE,
"POLYGON ((-46.7130184 -23.5586663, -46.7319634 -23.5494266, -46.7324516 -23.5506855, -46.727232 -23.5532623, -46.7243406 -23.554654, -46.7234367 -23.555308, -46.7201322 -23.5569025, -46.7190231 -23.5572836, -46.715614 -23.5589087, -46.7149013 -23.5591998, -46.7140886 -23.5595637, -46.7136487 -23.5598342, -46.7133168 -23.5601667, -46.7126251 -23.5598044, -46.712663 -23.5594174, -46.7130184 -23.5586663))",raia,
"POLYGON ((-46.7138406 -23.5602507, -46.7139935 -23.5604671, -46.7140283 -23.561512, -46.7139151 -23.5639227, -46.7130622 -23.5638981, -46.7132016 -23.5614198, -46.7132821 -23.5611002, -46.7134699 -23.5606773, -46.7138406 -23.5602507))",EEFE,
"POLYGON ((-46.7130622 -23.5638981, -46.7139151 -23.5639227, -46.713902 -23.5643654, -46.7134219 -23.5645793, -46.7131296 -23.5644908, -46.713041 -23.5643531, -46.7130622 -23.5638981))",centro de informações,
,,
"POLYGON ((-46.7140283 -23.561512, -46.7144897 -23.5614628, -46.7146533 -23.5619324, -46.7151267 -23.5618685, -46.715175 -23.5619496, -46.7164092 -23.56168, -46.7165997 -23.561744, -46.7171817 -23.5627102, -46.713902 -23.5643654, -46.7140283 -23.561512))",educação,
"POLYGON ((-46.7126251 -23.5598044, -46.7133168 -23.5601667, -46.712907 -23.560772, -46.7126361 -23.5606909, -46.7126251 -23.5598044))",ptrem,
"POLYGON ((-46.7324516 -23.5506855, -46.732254 -23.5511377, -46.7313581 -23.5515754, -46.7312009 -23.5517431, -46.7254932 -23.5545292, -46.7251379 -23.5546856, -46.7247838 -23.5548282, -46.7235768 -23.5555708, -46.720987 -23.5568576, -46.7190315 -23.5578255, -46.7180543 -23.5581019, -46.7141812 -23.5599877, -46.7138406 -23.5602507, -46.7134699 -23.5606773, -46.7132821 -23.5611002, -46.7132016 -23.5614198, -46.7130622 -23.5638981, -46.713041 -23.5643531, -46.7131296 -23.5644908, -46.712969 -23.5645008, -46.7126578 -23.5646753, -46.7124379 -23.5646753, -46.712454 -23.5641123, -46.7126361 -23.5606909, -46.712907 -23.560772, -46.7133168 -23.5601667, -46.7136487 -23.5598342, -46.7140886 -23.5595637, -46.715614 -23.5589087, -46.7190231 -23.5572836, -46.7201322 -23.5569025, -46.7234367 -23.555308, -46.7243406 -23.554654, -46.7324516 -23.5506855))",av. mello moraes,
,,
"POLYGON ((-46.7124379 -23.5646753, -46.7126578 -23.5646753, -46.712969 -23.5645008, -46.7131296 -23.5644908, -46.7134219 -23.5645793, -46.713902 -23.5643654, -46.7182009 -23.5622086, -46.7184856 -23.5625774, -46.7136496 -23.564913, -46.7135933 -23.5651957, -46.7133545 -23.56539, -46.7130461 -23.5654514, -46.7127537 -23.5653408, -46.7125901 -23.5653973, -46.7124399 -23.5651121, -46.7124379 -23.5646753))",av. da universidade,
,,
"POLYGON ((-46.7386674 -23.5592402, -46.7388927 -23.559014, -46.7389571 -23.5588075, -46.7392467 -23.5587878, -46.7400943 -23.5585567, -46.7407649 -23.5585911, -46.7417895 -23.5587091, -46.7423045 -23.5576716, -46.7431062 -23.5582756, -46.7439002 -23.5586493, -46.7439592 -23.5590329, -46.7437848 -23.5602253, -46.7434375 -23.5602183, -46.743054 -23.5601002, -46.7425202 -23.5597069, -46.7390682 -23.5596429, -46.7388295 -23.5595274, -46.7386674 -23.5592402))",antiga prefeitura,
,,
"POLYGON ((-46.7427429 -23.5603707, -46.7431666 -23.5606141, -46.7418449 -23.5624567, -46.7416813 -23.5629066, -46.7416813 -23.5633147, -46.7413916 -23.5633737, -46.7415177 -23.5626706, -46.7416357 -23.5624051, -46.7421078 -23.5616257, -46.7426442 -23.5608807, -46.7426657 -23.560807, -46.7427429 -23.5603707))",av. ernesto leme,
,,
"POLYGON ((-46.7125901 -23.5653973, -46.7127537 -23.5653408, -46.7130461 -23.5654514, -46.7133545 -23.56539, -46.7135933 -23.5651957, -46.7136496 -23.564913, -46.7138589 -23.5648096, -46.7137704 -23.5654512, -46.7138562 -23.5660118, -46.7144087 -23.566978, -46.7125205 -23.566919, -46.7125901 -23.5653973))",acadepol,
"POLYGON ((-46.7138589 -23.5648096, -46.7184856 -23.5625774, -46.7187239 -23.5626453, -46.7191531 -23.5626109, -46.7198223 -23.5629739, -46.7195953 -23.5633696, -46.7203124 -23.5637062, -46.7205558 -23.5633763, -46.7206551 -23.5636935, -46.7209582 -23.5639246, -46.7215134 -23.5638754, -46.7220793 -23.564168, -46.7184369 -23.5693554, -46.7144087 -23.566978, -46.7138562 -23.5660118, -46.7137704 -23.5654512, -46.7138589 -23.5648096))",instituto butantã,
,,
"POLYGON ((-46.7182009 -23.5622086, -46.7182519 -23.5620488, -46.7183826 -23.5618614, -46.718801 -23.5617237, -46.7191491 -23.561852, -46.7192779 -23.5620807, -46.7197687 -23.5619479, -46.7199511 -23.5621569, -46.720501 -23.5623708, -46.7209742 -23.5623105, -46.7212451 -23.5628919, -46.7215455 -23.5630099, -46.7216621 -23.563526, -46.7293869 -23.5676895, -46.7296524 -23.5676416, -46.7299529 -23.56766, -46.7302318 -23.567864, -46.7303284 -23.5681886, -46.7306234 -23.5682672, -46.7317351 -23.5682162, -46.7321106 -23.5682801, -46.733626 -23.5690103, -46.7340847 -23.5689906, -46.7359867 -23.567918, -46.737729 -23.5668966, -46.7380133 -23.566663, -46.738303 -23.5663385, -46.739223 -23.5648019, -46.7394805 -23.5645192, -46.7407358 -23.5638566, -46.7412427 -23.5635149, -46.7413916 -23.5633737, -46.7416813 -23.5633147, -46.7417447 -23.5634713, -46.7415569 -23.5637024, -46.7395721 -23.5648678, -46.7384536 -23.5666527, -46.7379547 -23.5671345, -46.7342533 -23.5693127, -46.7336203 -23.5693668, -46.7318607 -23.5687055, -46.7311258 -23.5687989, -46.7307543 -23.5691849, -46.7304848 -23.5691824, -46.7290228 -23.5684747, -46.7217057 -23.5646886, -46.7220793 -23.564168, -46.7215134 -23.5638754, -46.7209582 -23.5639246, -46.7206551 -23.5636935, -46.7205558 -23.5633763, -46.7198223 -23.5629739, -46.7191531 -23.5626109, -46.7187239 -23.5626453, -46.7184856 -23.5625774, -46.7182009 -23.5622086))",av. lineu prestes,
,,
"POLYGON ((-46.7251379 -23.5546856, -46.7254932 -23.5545292, -46.7258686 -23.5552555, -46.7264833 -23.5563435, -46.7269874 -23.557252, -46.7283436 -23.5596548, -46.7280601 -23.5598174, -46.727567 -23.5589203, -46.726259 -23.5566526, -46.7251379 -23.5546856))",av. lúcio martins rodrigues,
,,
"POLYGON ((-46.7338509 -23.5570317, -46.7341864 -23.5572989, -46.7291519 -23.5597133, -46.7217506 -23.5633499, -46.7216621 -23.563526, -46.7215455 -23.5630099, -46.7238838 -23.5618978, -46.726322 -23.5606435, -46.7280601 -23.5598174, -46.7283436 -23.5596548, -46.7315013 -23.5581701, -46.7338509 -23.5570317))",av. luciano gualberto,
,,
"POLYGON ((-46.7216621 -23.563526, -46.7217506 -23.5633499, -46.7261061 -23.5612058, -46.7265487 -23.5620232, -46.7268491 -23.5621265, -46.7268625 -23.562365, -46.7267337 -23.5623502, -46.7251247 -23.5631319, -46.7247358 -23.5634171, -46.7230232 -23.5642628, -46.7216621 -23.563526))",FFLCH,
"POLYGON ((-46.7198223 -23.5629739, -46.7205558 -23.5633763, -46.7203124 -23.5637062, -46.7195953 -23.5633696, -46.7198223 -23.5629739))",FFLCH,
"POLYGON ((-46.731347 -23.5604048, -46.7314644 -23.5605878, -46.731164 -23.560664, -46.7311935 -23.5619277, -46.7295574 -23.5631766, -46.7293804 -23.5634471, -46.7290826 -23.5645141, -46.729257 -23.5649837, -46.7300429 -23.5653844, -46.7301823 -23.5655811, -46.730523 -23.5671115, -46.7304908 -23.5675171, -46.7302318 -23.567864, -46.7299529 -23.56766, -46.7302615 -23.5669177, -46.7300683 -23.5659024, -46.7299772 -23.5656959, -46.7298967 -23.5655803, -46.7289499 -23.5650493, -46.7287782 -23.5646166, -46.7287675 -23.5642453, -46.7290411 -23.5634389, -46.7289579 -23.5627112, -46.7290491 -23.5623547, -46.7292449 -23.5620793, -46.7297465 -23.5615913, -46.7301327 -23.5612201, -46.7300408 -23.5610465, -46.731347 -23.5604048))",matão,
"POLYGON ((-46.728542 -23.5617248, -46.7300072 -23.5609958, -46.7300408 -23.5610465, -46.7301327 -23.5612201, -46.7292449 -23.5620793, -46.7290491 -23.5623547, -46.7286795 -23.5620247, -46.728542 -23.5617248))",FFLCH,
"POLYGON ((-46.7261061 -23.5612058, -46.7274151 -23.5605663, -46.7281786 -23.561845, -46.7279935 -23.5620736, -46.72761 -23.5630829, -46.7272948 -23.5629464, -46.7270226 -23.562494, -46.7268625 -23.562365, -46.7268491 -23.5621265, -46.7265487 -23.5620232, -46.7261061 -23.5612058))",geo,
"POLYGON ((-46.728542 -23.5617248, -46.7286795 -23.5620247, -46.7283609 -23.5622939, -46.7281128 -23.5621981, -46.7283287 -23.5618582, -46.728438 -23.561766, -46.728542 -23.5617248))",geo,
"POLYGON ((-46.7302615 -23.5669177, -46.7299529 -23.56766, -46.7296524 -23.5676416, -46.7293869 -23.5676895, -46.7278326 -23.5668501, -46.7279399 -23.5667357, -46.7276338 -23.5664162, -46.7272422 -23.5658458, -46.7270948 -23.5651293, -46.7271725 -23.5643598, -46.72761 -23.5630829, -46.7279935 -23.5620736, -46.7281786 -23.561845, -46.7283044 -23.5616849, -46.7286218 -23.5614656, -46.7313281 -23.5601723, -46.731347 -23.5604048, -46.7300408 -23.5610465, -46.7300072 -23.5609958, -46.728542 -23.5617248, -46.728438 -23.561766, -46.7283287 -23.5618582, -46.7281128 -23.5621981, -46.7283609 -23.5622939, -46.7286795 -23.5620247, -46.7290491 -23.5623547, -46.7289579 -23.5627112, -46.7290411 -23.5634389, -46.7287675 -23.5642453, -46.7287782 -23.5646166, -46.7289499 -23.5650493, -46.7293204 -23.565256, -46.7295377 -23.5670016, -46.7302615 -23.5669177))",lago,
"POLYGON ((-46.7310841 -23.5602894, -46.7286218 -23.5614656, -46.7283044 -23.5616849, -46.7281786 -23.561845, -46.7274151 -23.5605663, -46.7296585 -23.5594694, -46.7304517 -23.559089, -46.7310841 -23.5602894))",FAU,
"POLYGON ((-46.7319789 -23.5599617, -46.7327836 -23.5598178, -46.7363938 -23.5594712, -46.737983 -23.5594613, -46.7380061 -23.5593085, -46.7383279 -23.5596774, -46.7380058 -23.5595806, -46.7367237 -23.5595486, -46.7362517 -23.5595707, -46.7325019 -23.5599641, -46.7323249 -23.5601657, -46.7319789 -23.5599617))",matão,
"POLYGON ((-46.7313281 -23.5601723, -46.731519 -23.5600171, -46.7319789 -23.5599617, -46.7323249 -23.5601657, -46.7324157 -23.5603708, -46.733156 -23.5606056, -46.7324246 -23.5619018, -46.7321222 -23.5625035, -46.7316152 -23.5627936, -46.7311941 -23.5622921, -46.7311935 -23.5619277, -46.731164 -23.560664, -46.7314644 -23.5605878, -46.731347 -23.5604048, -46.7313281 -23.5601723))",IO,
"POLYGON ((-46.7304517 -23.559089, -46.7325099 -23.5581023, -46.7326093 -23.5582005, -46.7327836 -23.5598178, -46.7319789 -23.5599617, -46.731519 -23.5600171, -46.7313281 -23.5601723, -46.7310841 -23.5602894, -46.7304517 -23.559089))",IME,
"POLYGON ((-46.7326523 -23.5585985, -46.7336849 -23.5588843, -46.7338754 -23.5588966, -46.7359621 -23.5594719, -46.7359723 -23.5595117, -46.7327836 -23.5598178, -46.7326523 -23.5585985))",IAG,
